sampling_date,reporting_date,reported,reporting_delay
2021-04-16,2021-06-02,TRUE,47
2021-04-26,2021-06-02,TRUE,37
2021-04-14,2021-06-02,TRUE,49
2021-04-14,2021-06-02,TRUE,49
2021-04-12,2021-06-02,TRUE,51
2021-04-12,2021-06-02,TRUE,51
2021-04-17,2021-06-02,TRUE,46
2021-05-01,2021-06-02,TRUE,32
2021-04-30,2021-06-02,TRUE,33
2021-04-29,2021-06-02,TRUE,34
2021-04-26,2021-06-02,TRUE,37
2021-04-21,2021-06-02,TRUE,42
2021-04-19,2021-06-01,TRUE,43
2021-04-19,2021-06-01,TRUE,43
2021-04-19,2021-06-01,TRUE,43
2021-05-10,2021-05-30,TRUE,20
2021-05-11,2021-05-30,TRUE,19
2021-05-11,2021-05-30,TRUE,19
2021-05-07,2021-05-30,TRUE,23
2021-05-10,2021-05-30,TRUE,20
2021-05-12,2021-05-29,TRUE,17
2021-05-12,2021-05-29,TRUE,17
2021-05-13,2021-05-29,TRUE,16
2021-05-13,2021-05-29,TRUE,16
2021-05-06,2021-05-27,TRUE,21
2021-05-05,2021-05-27,TRUE,22
2021-05-12,2021-06-10,TRUE,29
2021-05-14,2021-06-10,TRUE,27
2021-05-13,2021-06-10,TRUE,28
2021-04-29,2021-06-10,TRUE,42
2021-05-04,2021-06-10,TRUE,37
2021-04-27,2021-06-10,TRUE,44
2021-04-28,2021-06-10,TRUE,43
2021-05-03,2021-06-10,TRUE,38
2021-05-26,2021-06-10,TRUE,15
2021-05-27,2021-06-10,TRUE,14
2021-05-05,2021-06-11,TRUE,37
2021-05-03,2021-06-11,TRUE,39
2021-04-27,2021-06-11,TRUE,45
2021-05-01,2021-06-11,TRUE,41
2021-05-03,2021-06-11,TRUE,39
2021-04-30,2021-06-11,TRUE,42
2021-05-06,2021-06-11,TRUE,36
2021-05-26,2021-06-11,TRUE,16
2021-06-01,2021-06-12,TRUE,11
2021-05-31,2021-06-12,TRUE,12
2021-05-31,2021-06-12,TRUE,12
2021-04-26,2021-06-13,TRUE,48
2021-04-28,2021-06-13,TRUE,46
2021-04-26,2021-06-13,TRUE,48
2021-04-14,2021-06-15,TRUE,62
2021-05-11,2021-06-15,TRUE,35
2021-05-05,2021-06-15,TRUE,41
2021-05-05,2021-05-27,TRUE,22
2021-05-27,2021-06-15,TRUE,19
2021-06-07,2021-06-16,TRUE,9
2021-06-04,2021-06-16,TRUE,12
2021-06-03,2021-06-16,TRUE,13
2021-06-02,2021-06-16,TRUE,14
2021-04-30,2021-06-20,TRUE,51
2021-03-11,2021-06-04,TRUE,85
2021-05-21,2021-06-15,TRUE,25
2021-05-27,2021-06-15,TRUE,19
2021-06-03,2021-06-16,TRUE,13
2021-05-20,2021-06-29,TRUE,40
2021-05-26,2021-06-29,TRUE,34
2021-05-22,2021-06-30,TRUE,39
2021-04-28,2021-06-20,TRUE,53
2021-05-24,2021-07-03,TRUE,40
2021-06-27,2021-07-04,TRUE,7
2021-04-30,2021-06-20,TRUE,51
2021-05-13,2021-05-29,TRUE,16
2021-04-29,2021-05-10,TRUE,11
2021-04-26,2021-06-13,TRUE,48
2021-06-19,2021-06-26,TRUE,7
2021-06-19,2021-06-26,TRUE,7
2021-04-23,2021-06-02,TRUE,40
2021-05-07,2021-06-30,TRUE,54
2021-05-15,2021-06-05,TRUE,21
2021-05-15,2021-05-29,TRUE,14
2021-04-26,2021-06-13,TRUE,48
2021-04-26,2021-06-13,TRUE,48
2021-04-14,2021-06-02,TRUE,49
2021-05-24,2021-06-11,TRUE,18
2021-07-20,2021-08-03,FALSE,14
2021-06-05,2021-08-03,FALSE,59
2021-07-21,2021-08-05,FALSE,15
2021-07-22,2021-08-05,FALSE,14
2021-07-14,2021-08-05,FALSE,22
2021-07-12,2021-08-05,FALSE,24
2021-07-20,2021-08-05,FALSE,16
2021-07-19,2021-08-07,FALSE,19
2021-06-10,2021-09-21,FALSE,103
2021-07-23,2021-08-11,FALSE,19
2021-07-27,2021-08-19,FALSE,23
2021-07-27,2021-08-19,FALSE,23
2021-07-26,2021-08-19,FALSE,24
2021-07-29,2021-08-12,FALSE,14
2021-07-20,2021-08-11,FALSE,22
2021-07-18,2021-08-03,FALSE,16
2021-04-19,2022-04-25,FALSE,371
2021-07-28,2021-09-20,FALSE,54
2021-03-25,2021-10-01,FALSE,190
2021-07-27,2021-08-20,FALSE,24
2021-08-01,2021-08-17,FALSE,16
2021-07-30,2021-08-17,FALSE,18
2021-08-01,2021-08-17,FALSE,16
2021-08-01,2021-08-17,FALSE,16
2021-08-01,2021-08-17,FALSE,16
2021-07-23,2021-08-15,FALSE,23
2021-07-24,2021-08-15,FALSE,22
2021-07-25,2021-08-15,FALSE,21
2021-07-27,2021-08-15,FALSE,19
2021-07-30,2021-08-15,FALSE,16
2021-07-30,2021-08-15,FALSE,16
2021-07-30,2021-08-15,FALSE,16
2021-08-01,2021-08-15,FALSE,14
2021-07-31,2021-08-15,FALSE,15
2021-07-31,2021-08-15,FALSE,15
2021-07-31,2021-08-15,FALSE,15
2021-07-26,2021-08-12,FALSE,17
2021-07-31,2021-08-12,FALSE,12
2021-07-29,2021-08-12,FALSE,14
2021-07-30,2021-10-19,FALSE,81
2021-06-27,2021-08-11,FALSE,45
